,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_layers,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
39,1.1311696767807007,0.11706232569321078,0.09455573558807373,0.004175633476130011,50,"(4.0, 2.0, 4.0)","{'batch_size': 50, 'layers': (4.0, 2.0, 4.0)}",0.7683333158493042,0.7699999809265137,0.7666666507720947,0.8016666769981384,0.7766666561365128,0.014481801243872753,66
31,1.9387885928153992,0.07750187503135378,0.2338826060295105,0.10789796729017521,50,"(32.0, 32.0)","{'batch_size': 50, 'layers': (32.0, 32.0)}",0.7649999856948853,0.7666666507720947,0.7883333563804626,0.7933333516120911,0.7783333361148834,0.012638143164034922,64
8,1.9614418745040894,0.07998028758715295,0.09960418939590454,0.0031480928733116473,20,"(4.0, 4.0)","{'batch_size': 20, 'layers': (4.0, 4.0)}",0.8199999928474426,0.7433333396911621,0.8016666769981384,0.7483333349227905,0.7783333361148834,0.033187177121703125,64
71,1.1360604166984558,0.09895061140788927,0.1300099492073059,0.0022217005222588504,150,"(32.0, 32.0)","{'batch_size': 150, 'layers': (32.0, 32.0)}",0.7699999809265137,0.7683333158493042,0.7883333563804626,0.7916666865348816,0.7795833349227905,0.010499688860424723,63
36,1.1088066697120667,0.041782382724116586,0.14380139112472534,0.08977786419091503,50,"(8.0, 4.0, 4.0)","{'batch_size': 50, 'layers': (8.0, 4.0, 4.0)}",0.7866666913032532,0.7599999904632568,0.7850000262260437,0.7866666913032532,0.7795833498239517,0.011326912643345064,62
18,2.7503403425216675,0.47059221788437344,0.12458467483520508,0.027639534513489848,20,"(2.0, 4.0, 2.0)","{'batch_size': 20, 'layers': (2.0, 4.0, 2.0)}",0.7850000262260437,0.7699999809265137,0.7699999809265137,0.7950000166893005,0.7800000011920929,0.010606619700458229,60
30,1.8931817412376404,0.09010062410821836,0.14620041847229004,0.02308800232786125,50,"(32.0, 16.0)","{'batch_size': 50, 'layers': (32.0, 16.0)}",0.7866666913032532,0.746666669845581,0.7766666412353516,0.8100000023841858,0.7800000011920929,0.02273030518834587,60
72,0.8667656779289246,0.09854380579651752,0.10197538137435913,0.01091373014928076,150,"(16.0, 32.0)","{'batch_size': 150, 'layers': (16.0, 32.0)}",0.7733333110809326,0.7649999856948853,0.7816666960716248,0.8016666769981384,0.7804166674613953,0.013610414129817568,58
26,1.1090123653411865,0.0684303791152071,0.10108232498168945,0.007844462044197212,50,"(4.0, 2.0)","{'batch_size': 50, 'layers': (4.0, 2.0)}",0.8016666769981384,0.7433333396911621,0.7666666507720947,0.8100000023841858,0.7804166674613953,0.02688388349893046,58
68,1.2765778303146362,0.2317732931240736,0.22317588329315186,0.14062652871247494,150,"(4.0, 4.0)","{'batch_size': 150, 'layers': (4.0, 4.0)}",0.7683333158493042,0.7699999809265137,0.7916666865348816,0.7933333516120911,0.7808333337306976,0.011696409278387021,57
77,0.6601195931434631,0.0039965054594806445,0.09162288904190063,0.0034481739515790618,150,"(4.0, 8.0, 8.0)","{'batch_size': 150, 'layers': (4.0, 8.0, 8.0)}",0.7683333158493042,0.7716666460037231,0.778333306312561,0.8066666722297668,0.7812499850988388,0.015109564293582815,56
10,1.9372575879096985,0.03430585052862195,0.0986669659614563,0.0028807637692790156,20,"(32.0, 16.0)","{'batch_size': 20, 'layers': (32.0, 16.0)}",0.79666668176651,0.7683333158493042,0.7633333206176758,0.79666668176651,0.78125,0.015517701850769674,54
76,0.7112113237380981,0.09207073558107653,0.0901535153388977,0.0028803390891313026,150,"(8.0, 4.0, 4.0)","{'batch_size': 150, 'layers': (8.0, 4.0, 4.0)}",0.8050000071525574,0.7433333396911621,0.7799999713897705,0.79666668176651,0.78125,0.02366945614573011,54
51,0.7428281307220459,0.011813428230426672,0.0872185230255127,0.0037337472062633687,100,"(32.0, 32.0)","{'batch_size': 100, 'layers': (32.0, 32.0)}",0.79666668176651,0.7566666603088379,0.7633333206176758,0.8100000023841858,0.7816666662693024,0.022298487959504683,52
59,0.784227728843689,0.015154022775324131,0.09268379211425781,0.0034857610620921747,100,"(4.0, 2.0, 4.0)","{'batch_size': 100, 'layers': (4.0, 2.0, 4.0)}",0.7683333158493042,0.7733333110809326,0.79666668176651,0.7883333563804626,0.7816666662693024,0.011365168983265339,52
16,2.3486960530281067,0.3763032967576251,0.12292903661727905,0.00494141356684653,20,"(8.0, 4.0, 4.0)","{'batch_size': 20, 'layers': (8.0, 4.0, 4.0)}",0.8100000023841858,0.7616666555404663,0.7666666507720947,0.7916666865348816,0.7824999988079071,0.019525633551189765,51
63,0.6480830907821655,0.012894182378354598,0.0936010479927063,0.0038094778465872464,150,"(8.0, 4.0)","{'batch_size': 150, 'layers': (8.0, 4.0)}",0.8149999976158142,0.7633333206176758,0.778333306312561,0.778333306312561,0.783749982714653,0.01905311187834486,50
5,1.7817045450210571,0.032132104264494324,0.09492850303649902,0.0009602400103247735,20,"(2.0, 4.0)","{'batch_size': 20, 'layers': (2.0, 4.0)}",0.8116666674613953,0.7649999856948853,0.8100000023841858,0.7483333349227905,0.7837499976158142,0.02772321296744435,49
7,1.835473120212555,0.0572790915038471,0.09737145900726318,0.0035594338296351478,20,"(2.0, 2.0)","{'batch_size': 20, 'layers': (2.0, 2.0)}",0.8183333277702332,0.778333306312561,0.7916666865348816,0.7483333349227905,0.7841666638851166,0.025207473028236504,48
12,1.9803578853607178,0.04280760013558949,0.10233503580093384,0.003669674755067577,20,"(16.0, 32.0)","{'batch_size': 20, 'layers': (16.0, 32.0)}",0.7866666913032532,0.7649999856948853,0.7933333516120911,0.7916666865348816,0.7841666787862778,0.011334573145572008,47
19,1.904452919960022,0.03751981741457725,0.1013832688331604,0.004246019800840489,20,"(4.0, 2.0, 4.0)","{'batch_size': 20, 'layers': (4.0, 2.0, 4.0)}",0.8116666674613953,0.7483333349227905,0.7799999713897705,0.800000011920929,0.7849999964237213,0.024008103450251766,46
55,0.8037130832672119,0.08004124504017666,0.09156668186187744,0.0032107071979288536,100,"(16.0, 16.0)","{'batch_size': 100, 'layers': (16.0, 16.0)}",0.7916666865348816,0.753333330154419,0.8083333373069763,0.7866666913032532,0.7850000113248825,0.019965252178750233,45
6,1.867736279964447,0.06743924075801631,0.10449963808059692,0.00497109624467055,20,"(4.0, 2.0)","{'batch_size': 20, 'layers': (4.0, 2.0)}",0.8116666674613953,0.7616666555404663,0.7666666507720947,0.8016666769981384,0.7854166626930237,0.021614529268743448,44
43,0.7379958629608154,0.011762105970800175,0.08837860822677612,0.0019175327434303362,100,"(8.0, 4.0)","{'batch_size': 100, 'layers': (8.0, 4.0)}",0.8100000023841858,0.7666666507720947,0.7733333110809326,0.7950000166893005,0.7862499952316284,0.01725524431097568,43
54,0.7461297512054443,0.017853218139001353,0.09271913766860962,0.003931366022009556,100,"(8.0, 16.0)","{'batch_size': 100, 'layers': (8.0, 16.0)}",0.8033333420753479,0.7716666460037231,0.7816666960716248,0.7916666865348816,0.7870833426713943,0.011748235166709475,40
17,3.2155264616012573,0.24866490224412752,0.1535472273826599,0.010855557925898839,20,"(4.0, 8.0, 8.0)","{'batch_size': 20, 'layers': (4.0, 8.0, 8.0)}",0.8116666674613953,0.746666669845581,0.7850000262260437,0.8050000071525574,0.7870833426713943,0.025313999948553892,40
44,1.0652300119400024,0.15906697020411117,0.12786465883255005,0.01579478598757639,100,"(4.0, 8.0)","{'batch_size': 100, 'layers': (4.0, 8.0)}",0.7883333563804626,0.7699999809265137,0.7883333563804626,0.8016666769981384,0.7870833426713943,0.011265433382007127,40
