,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout_rate,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
268,0.9645015001296997,0.008993919752479335,0.13475650548934937,0.08957619646402266,relu,0.8,Adagrad,"{'activation': 'relu', 'dropout_rate': 0.8, 'optimizer': 'Adagrad'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
269,0.989708662033081,0.00819519601493535,0.08291614055633545,0.000790910083603686,relu,0.8,Adadelta,"{'activation': 'relu', 'dropout_rate': 0.8, 'optimizer': 'Adadelta'}",0.7366666793823242,0.2683333456516266,0.6850000023841858,0.7316666841506958,0.6054166778922081,0.1956555042562267,513
270,1.051087200641632,0.005220670662841775,0.0840376615524292,0.0007451782797143063,relu,0.8,Adam,"{'activation': 'relu', 'dropout_rate': 0.8, 'optimizer': 'Adam'}",0.8166666626930237,0.7566666603088379,0.7749999761581421,0.7816666960716248,0.7824999988079071,0.021746649352505462,26
271,0.9960649609565735,0.007684824550243017,0.1338074803352356,0.08748404020390685,relu,0.8,Adamax,"{'activation': 'relu', 'dropout_rate': 0.8, 'optimizer': 'Adamax'}",0.7733333110809326,0.7433333396911621,0.7683333158493042,0.7483333349227905,0.7583333253860474,0.012747536626972089,255
272,1.277759611606598,0.008038390186560622,0.08436298370361328,0.001855884164353216,relu,0.8,Nadam,"{'activation': 'relu', 'dropout_rate': 0.8, 'optimizer': 'Nadam'}",0.8133333325386047,0.8033333420753479,0.7749999761581421,0.7733333110809326,0.7912499904632568,0.01745531257528557,7
273,1.0000426769256592,0.07887766864248333,0.0833011269569397,0.0009917247760649207,relu,0.9,SGD,"{'activation': 'relu', 'dropout_rate': 0.9, 'optimizer': 'SGD'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
274,1.2264601588249207,0.08615854446904338,0.08717209100723267,0.0042716828077478015,relu,0.9,RMSprop,"{'activation': 'relu', 'dropout_rate': 0.9, 'optimizer': 'RMSprop'}",0.7683333158493042,0.7433333396911621,0.7699999809265137,0.75,0.757916659116745,0.01150934512126697,261
275,1.041748285293579,0.025741962933363855,0.09248316287994385,0.004445088589679979,relu,0.9,Adagrad,"{'activation': 'relu', 'dropout_rate': 0.9, 'optimizer': 'Adagrad'}",0.7699999809265137,0.7433333396911621,0.7616666555404663,0.7483333349227905,0.7558333277702332,0.01057380453306584,465
276,1.0923882722854614,0.10378322325043444,0.0873611569404602,0.0025536645913819,relu,0.9,Adadelta,"{'activation': 'relu', 'dropout_rate': 0.9, 'optimizer': 'Adadelta'}",0.47833332419395447,0.38499999046325684,0.699999988079071,0.3333333432674408,0.4741666615009308,0.14035915647005598,555
277,1.1495815515518188,0.016690646367219515,0.09221583604812622,0.0033103283417526006,relu,0.9,Adam,"{'activation': 'relu', 'dropout_rate': 0.9, 'optimizer': 'Adam'}",0.7850000262260437,0.7683333158493042,0.7816666960716248,0.7599999904632568,0.7737500071525574,0.010095053197307486,67
278,0.9952596426010132,0.0074636305704836895,0.08592337369918823,0.0029704758275053223,relu,0.9,Adamax,"{'activation': 'relu', 'dropout_rate': 0.9, 'optimizer': 'Adamax'}",0.7683333158493042,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7566666603088379,0.010992411148703914,276
279,1.2973924279212952,0.09104393808840985,0.08287006616592407,0.0011876885755939166,relu,0.9,Nadam,"{'activation': 'relu', 'dropout_rate': 0.9, 'optimizer': 'Nadam'}",0.7816666960716248,0.753333330154419,0.7883333563804626,0.7483333349227905,0.7679166793823242,0.017335549555221434,150
280,0.9120272994041443,0.00497980763274232,0.08290696144104004,0.0012766208253443326,tanh,0.0,SGD,"{'activation': 'tanh', 'dropout_rate': 0.0, 'optimizer': 'SGD'}",0.7883333563804626,0.746666669845581,0.7733333110809326,0.7716666460037231,0.7699999958276749,0.014953636045558383,108
281,1.0785303115844727,0.005155958617035264,0.08276957273483276,0.0012103584386187573,tanh,0.0,RMSprop,"{'activation': 'tanh', 'dropout_rate': 0.0, 'optimizer': 'RMSprop'}",0.800000011920929,0.7766666412353516,0.7583333253860474,0.7950000166893005,0.7824999988079071,0.016435913960282263,26
282,0.984375536441803,0.09176752590268263,0.08374530076980591,0.0011913694019077671,tanh,0.0,Adagrad,"{'activation': 'tanh', 'dropout_rate': 0.0, 'optimizer': 'Adagrad'}",0.7666666507720947,0.7433333396911621,0.7666666507720947,0.7483333349227905,0.7562499940395355,0.01056559186811176,460
283,0.9598990678787231,0.007534308063309639,0.0826256275177002,0.0011917866194191991,tanh,0.0,Adadelta,"{'activation': 'tanh', 'dropout_rate': 0.0, 'optimizer': 'Adadelta'}",0.7383333444595337,0.6549999713897705,0.6549999713897705,0.6483333110809326,0.6741666495800018,0.037146497868124156,477
284,1.0247841477394104,0.006421088781465067,0.08112573623657227,0.001096369449736235,tanh,0.0,Adam,"{'activation': 'tanh', 'dropout_rate': 0.0, 'optimizer': 'Adam'}",0.7883333563804626,0.7516666650772095,0.7683333158493042,0.7900000214576721,0.7745833396911621,0.01573986824143915,65
285,0.9806450605392456,0.0053828825600403495,0.13105851411819458,0.08461506179770936,tanh,0.0,Adamax,"{'activation': 'tanh', 'dropout_rate': 0.0, 'optimizer': 'Adamax'}",0.7799999713897705,0.7333333492279053,0.7716666460037231,0.7866666913032532,0.767916664481163,0.02066178759813907,154
286,1.2502058148384094,0.011489272081590606,0.08196038007736206,0.00048108560802938516,tanh,0.0,Nadam,"{'activation': 'tanh', 'dropout_rate': 0.0, 'optimizer': 'Nadam'}",0.79666668176651,0.753333330154419,0.7983333468437195,0.7816666960716248,0.7825000137090683,0.018047013394634787,24
287,0.9051105380058289,0.006159046359008723,0.0830463171005249,0.0006694167589630104,tanh,0.1,SGD,"{'activation': 'tanh', 'dropout_rate': 0.1, 'optimizer': 'SGD'}",0.778333306312561,0.746666669845581,0.7683333158493042,0.7633333206176758,0.7641666531562805,0.011456428311677742,214
